"","clusters"
"1",1
"2",1
"3",18
"4",18
"5",26
"6",26
"7",26
"8",8
"9",2
"10",8
"11",8
"12",8
"13",8
"14",27
"15",23
"16",21
"17",8
"18",8
"19",8
"20",13
"21",9
"22",21
"23",21
"24",21
"25",20
"26",20
"27",13
"28",3
"29",7
"30",18
"31",11
"32",25
"33",25
"34",2
"35",27
"36",27
"37",27
"38",25
"39",21
"40",2
"41",2
"42",18
"43",2
"44",2
"45",27
"46",20
"47",27
"48",20
"49",14
"50",27
"51",20
"52",14
"53",27
"54",20
"55",12
"56",27
"57",15
"58",2
"59",20
"60",19
"61",27
"62",21
"63",21
"64",27
"65",20
"66",20
"67",13
"68",29
"69",11
"70",17
"71",17
"72",7
"73",11
"74",26
"75",1
"76",12
"77",17
"78",1
"79",17
"80",26
"81",1
"82",4
"83",6
"84",4
"85",4
"86",7
"87",4
"88",5
"89",6
"90",6
"91",6
"92",30
"93",30
"94",30
"95",30
"96",4
"97",6
"98",6
"99",7
"100",6
"101",4
"102",8
"103",11
"104",3
"105",12
"106",26
"107",7
"108",7
"109",7
"110",22
"111",20
"112",27
"113",2
"114",27
"115",23
"116",9
"117",20
"118",17
"119",21
"120",26
"121",18
"122",28
"123",14
"124",11
"125",19
"126",10
"127",28
"128",24
"129",26
"130",17
"131",26
"132",17
"133",2
"134",6
"135",17
"136",19
"137",14
"138",1
"139",28
"140",26
"141",26
"142",1
"143",1
"144",1
"145",26
"146",26
"147",26
"148",7
"149",26
"150",10
"151",13
"152",13
"153",13
"154",30
"155",2
"156",2
"157",26
"158",15
"159",10
"160",9
"161",10
"162",14
"163",10
"164",10
"165",21
"166",21
"167",21
"168",27
"169",13
"170",9
"171",3
"172",27
"173",21
"174",27
"175",25
"176",20
"177",9
"178",13
"179",23
"180",23
"181",21
"182",23
"183",14
"184",18
"185",11
"186",2
"187",6
"188",14
"189",21
"190",28
"191",7
"192",17
"193",22
"194",14
"195",2
"196",20
"197",23
"198",18
"199",22
"200",1
"201",14
"202",1
"203",1
"204",22
"205",22
"206",27
"207",20
"208",17
"209",25
"210",19
"211",19
"212",19
"213",14
"214",26
"215",15
"216",24
"217",9
"218",30
"219",14
"220",14
"221",24
"222",15
"223",1
"224",19
"225",18
"226",26
"227",26
"228",15
"229",28
"230",14
"231",26
"232",1
"233",10
"234",26
"235",26
"236",7
"237",26
"238",7
"239",7
"240",7
"241",12
"242",7
"243",7
"244",1
"245",26
"246",1
"247",1
"248",4
"249",26
"250",4
"251",15
"252",1
"253",2
"254",27
"255",10
"256",28
"257",5
"258",5
"259",10
"260",19
"261",27
"262",19
"263",27
"264",27
"265",10
"266",13
"267",4
"268",11
"269",4
"270",5
"271",6
"272",6
"273",3
"274",6
"275",11
"276",7
"277",4
"278",4
"279",12
"280",4
"281",3
"282",6
"283",4
"284",4
"285",4
"286",30
"287",4
"288",4
"289",11
"290",30
"291",6
"292",6
"293",4
"294",4
"295",24
"296",6
"297",5
"298",24
"299",30
"300",4
"301",6
"302",4
"303",6
"304",4
"305",4
"306",4
"307",30
"308",11
"309",7
"310",11
"311",30
"312",6
"313",7
"314",6
"315",30
"316",14
"317",25
"318",5
"319",26
"320",2
"321",15
"322",25
"323",5
"324",15
"325",14
"326",27
"327",11
"328",28
"329",8
"330",2
"331",11
"332",24
"333",25
"334",1
"335",10
"336",11
"337",18
"338",17
"339",18
"340",24
"341",6
"342",14
"343",20
"344",18
"345",25
"346",27
"347",14
"348",27
"349",22
"350",2
"351",10
"352",13
"353",29
"354",24
"355",10
"356",19
"357",29
"358",25
"359",15
"360",15
"361",14
"362",10
"363",12
"364",21
"365",2
"366",27
"367",22
"368",14
"369",1
"370",18
"371",22
"372",14
"373",18
"374",14
"375",22
"376",1
"377",13
"378",13
"379",13
"380",21
"381",5
"382",29
"383",29
"384",29
"385",13
"386",15
"387",12
"388",13
"389",3
"390",4
"391",28
"392",10
"393",24
"394",5
"395",29
"396",13
"397",21
"398",13
"399",5
"400",19
"401",29
"402",29
"403",5
"404",29
"405",25
"406",6
"407",25
"408",29
"409",29
"410",25
"411",29
"412",4
"413",25
"414",25
"415",13
"416",9
"417",25
"418",3
"419",18
"420",27
"421",18
"422",25
"423",20
"424",10
"425",14
"426",27
"427",2
"428",27
"429",27
"430",2
"431",18
"432",2
"433",14
"434",13
"435",18
"436",27
"437",12
"438",27
"439",27
"440",2
"441",18
"442",14
"443",14
"444",19
"445",2
"446",13
"447",6
"448",30
"449",30
"450",30
"451",4
"452",4
"453",6
"454",2
"455",14
"456",20
"457",25
"458",18
"459",8
"460",29
"461",29
"462",25
"463",20
"464",20
"465",22
"466",20
"467",17
"468",22
"469",22
"470",22
"471",17
"472",18
"473",22
"474",4
"475",30
"476",17
"477",10
"478",21
"479",13
"480",30
"481",30
