sta,lat,lon
AAOT,45.3139,12.5083
Abracos_Hill,-10.76,-62.358333
Abu_Al_Bukhoosh,25.495,53.145833
Abu_Dhabi,24.476111,54.328889
AgiaMarina_Xyliatou,35.038,33.0577
Agoufou,15.3454,-1.479117
Ahmedabad,23.016667,72.516667
Al_Ain,24.242167,55.705167
Al_Khaznah,24.158611,55.100556
Al_Qlaa,24.133333,53.033333
Alboran,35.939625,-3.35297
Alishan,23.50844,120.81341
Alta_Floresta,-9.871339,-56.104453
Amazon_ATTO_Tower,-2.144117,-58.999867
Ames,42.021361,-93.774778
Amity_Univ_Gurgaon,28.317329,76.916031
Andenes,69.278333,16.008611
Andros_Island,24.7,-77.8
Anmyon,36.538537,126.330194
Antikythera_NOA,35.86099,23.30982
AOE_Baotou,40.8517,109.6288
Appalachian_State,36.2146,-81.6938
Appledore_Island,42.987064,-70.615361
Aras_de_los_Olmos,39.945,-1.1016
Arcachon,44.663528,-1.163222
ARIAKE_TOWER,33.103617,130.27195
Arica,-18.471667,-70.313333
ARM_Ascension_Is,-7.966964,-14.349806
ARM_Darwin,-12.425,130.891
ARM_Graciosa,39.09109,-28.02917
ARM_Highlands_MA,42.030478,-70.049317
ARM_Manacapuru,-3.212972,-60.598056
ARM_Nainital,29.35883,79.45827
ARM_Oliktok_AK,70.4995,-149.88
ARM_SGP,36.605175,-97.485619
Ascension_Island,-7.976389,-14.414722
ATHENS-NOA,37.9721,23.718
Aubiere_LAMP,45.76096,3.111072
Autilla,41.997222,-4.603056
Avignon,43.93275,4.878067
Bac_Giang,21.291416,106.225472
Bac_Lieu,9.28,105.73
Bach_Long_Vy,20.133321,107.733339
BackGarden_GZ,23.296,113.021
Badajoz,38.882808,-7.01082
Baengnyeong,37.966111,124.630278
Bahrain,26.20805,50.609267
Bakersfield,35.331506,-119.000008
Balbina,-1.916983,-59.4868
Bambey-ISRA,14.708567,-16.476733
Bandung,-6.888417,107.61
Baneasa,44.511333,26.077806
Banizoumbou,13.54693,2.66519
Barbados,13.148575,-59.624122
Barbados_SALTRACE,13.148513,-59.624839
Barcelona,41.38925,2.11206
Bareilly,28.38996,79.43696
Bari_University,41.108327,16.883983
Barrow,71.3122,-156.665
Baskin,32.28222,-91.73866
Bayfordbury,51.77632,-0.09624
Beijing,39.97689,116.38137
Beijing_RADI,40.0048,116.3786
Beijing-CAMS,39.93333,116.31667
Belsk,51.836667,20.791667
Belterra,-2.648483,-54.95165
Ben_Salem,35.55055,9.914003
Berlin_FUB,52.4575,13.310333
Bermuda,32.37,-64.696111
Bethlehem,-28.248333,28.333333
Bhola,22.226675,90.756415
Billerica,42.528347,-71.268619
Birdsville,-25.89893,139.34596
Birkenes,58.38845,8.25231
Blida,36.508333,2.880556
Bodele,16.883,18.55
Bolzano,46.4569,11.33
Bonanza,-21.825556,19.590278
Bonanza_Creek,64.742805,-148.316269
BONDVILLE,40.053333,-88.371944
BORDEAUX,44.788028,-0.579167
Bordj_Badji_Mokhtar,21.38,0.92
Boyd_County_MS,38.427461,-82.700033
Bozeman,45.662204,-111.045013
Brasilia,-15.917,-47.900002
Brasilia_SONDA,-15.60129,-47.71348
Bratts_Lake,50.204238,-104.713013
Brest_MF,48.444565,-4.411855
Brisbane-Uni_of_QLD,-27.497083,153.013611
Brno_Airport,49.15647,16.68333
